user_id,session_id,event_type,content_id,timestamp
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,login,80,2026-03-16T04:18:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,view_home,20,2026-03-16T06:26:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,search,26,2026-03-16T08:44:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,view_content,468,2026-03-16T11:24:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,start_play,371,2026-03-16T14:16:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,pause,378,2026-03-16T17:41:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,resume,190,2026-03-16T20:04:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,stop_play,499,2026-03-17T00:55:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,add_to_watchlist,271,2026-03-17T05:46:16
1,6fe75e22-d2ea-4023-8e9a-0a063c63cb4a,logout,411,2026-03-17T10:38:16
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,login,355,2026-01-18T09:20:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,view_home,424,2026-01-18T14:12:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,search,14,2026-01-18T15:41:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,view_content,291,2026-01-18T17:50:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,start_play,430,2026-01-18T19:08:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,pause,149,2026-01-18T22:32:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,resume,239,2026-01-19T02:50:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,stop_play,355,2026-01-19T07:16:15
1,1bbc5d99-a2ba-4d85-82ee-82bd7ce0e422,logout,309,2026-01-19T09:55:15
1,7931f425-cd31-4337-83c4-4a9b83049f83,login,309,2026-02-25T20:22:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,view_home,63,2026-02-25T20:35:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,search,2,2026-02-26T00:41:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,view_content,208,2026-02-26T05:12:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,start_play,450,2026-02-26T06:58:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,pause,318,2026-02-26T07:33:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,resume,421,2026-02-26T10:35:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,stop_play,251,2026-02-26T11:13:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,add_to_watchlist,93,2026-02-26T15:48:19
1,7931f425-cd31-4337-83c4-4a9b83049f83,logout,231,2026-02-26T20:24:19
2,d7024d4c-5fae-4d30-8967-f878450218b9,login,196,2026-02-07T06:18:32
2,d7024d4c-5fae-4d30-8967-f878450218b9,view_home,253,2026-02-07T09:48:32
2,d7024d4c-5fae-4d30-8967-f878450218b9,search,218,2026-02-07T10:54:32
